"icon-asset","icon-name"
"description","Description"
"content_copy","Content Copy"
"dashboard","Dashboard"
"edit_note","Edit Note"
"menu_book","Menu Book"
"grid_view","Grid View"
"list","List"
"folder","Folder"
"list_alt","List Alt"
"inventory","Inventory"
"folder_open","Folder Open"
"article","Article"
"fact_check","Fact Check"
"attach_file","Attach File"
"format_list_bulleted","Format List Bulleted"
"assignment","Assignment"
"task","Task"
"checklist","Checklist"
"cloud_upload","Cloud Upload"
"draft","Draft"
"summarize","Summarize"
"cloud","Cloud"
"draw","Draw"
"feed","Feed"
"newspaper","Newspaper"
"file_copy","File Copy"
"view_list","View List"
"note_add","Note Add"
"border_color","Border Color"
"book","Book"
"design_services","Design Services"
"history_edu","History Edu"
"pending_actions","Pending Actions"
"format_quote","Format Quote"
"post_add","Post Add"
"request_quote","Request Quote"
"cloud_download","Cloud Download"
"drag_handle","Drag Handle"
"table","Table"
"contact_page","Contact Page"
"archive","Archive"
"space_dashboard","Space Dashboard"
"content_paste","Content Paste"
"percent","Percent"
"attachment","Attachment"
"assignment_ind","Assignment Ind"
"format_list_numbered","Format List Numbered"
"assignment_turned_in","Assignment Turned In"
"tag","Tag"
"table_chart","Table Chart"
"sticky_note_2","Sticky Note 2"
"text_fields","Text Fields"
"dashboard_customize","Dashboard Customize"
"format_bold","Format Bold"
"integration_instructions","Integration Instructions"
"reorder","Reorder"
"find_in_page","Find In Page"
"note","Note"
"text_snippet","Text Snippet"
"document_scanner","Document Scanner"
"checklist_rtl","Checklist Rtl"
"note_alt","Note Alt"
"edit_document","Edit Document"
"cloud_sync","Cloud Sync"
"table_rows","Table Rows"
"perm_media","Perm Media"
"cloud_done","Cloud Done"
"title","Title"
"table_view","Table View"
"content_cut","Content Cut"
"data_object","Data Object"
"notes","Notes"
"cut","Cut"
"subject","Subject"
"functions","Functions"
"format_italic","Format Italic"
"content_paste_search","Content Paste Search"
"format_color_fill","Format Color Fill"
"folder_shared","Folder Shared"
"plagiarism","Plagiarism"
"horizontal_rule","Horizontal Rule"
"file_present","File Present"
"folder_copy","Folder Copy"
"cloud_off","Cloud Off"
"format_paint","Format Paint"
"ballot","Ballot"
"team_dashboard","Team Dashboard"
"format_align_left","Format Align Left"
"view_column","View Column"
"add_link","Add Link"
"difference","Difference"
"read_more","Read More"
"view_agenda","View Agenda"
"format_size","Format Size"
"format_underlined","Format Underlined"
"vertical_align_top","Vertical Align Top"
"toc","Toc"
"height","Height"
"vertical_align_bottom","Vertical Align Bottom"
"view_week","View Week"
"copy_all","Copy All"
"drive_folder_upload","Drive Folder Upload"
"assignment_late","Assignment Late"
"format_color_text","Format Color Text"
"low_priority","Low Priority"
"drive_file_move","Drive File Move"
"view_module","View Module"
"assignment_return","Assignment Return"
"folder_special","Folder Special"
"segment","Segment"
"format_align_center","Format Align Center"
"square","Square"
"calendar_view_month","Calendar View Month"
"folder_zip","Folder Zip"
"polyline","Polyline"
"breaking_news_alt_1","Breaking News Alt 1"
"format_align_right","Format Align Right"
"grading","Grading"
"view_headline","View Headline"
"linear_scale","Linear Scale"
"edit_off","Edit Off"
"view_quilt","View Quilt"
"view_carousel","View Carousel"
"text_increase","Text Increase"
"request_page","Request Page"
"view_sidebar","View Sidebar"
"text_format","Text Format"
"pages","Pages"
"format_align_justify","Format Align Justify"
"calendar_view_week","Calendar View Week"
"numbers","Numbers"
"hexagon","Hexagon"
"docs_add_on","Docs Add On"
"folder_delete","Folder Delete"
"forms_add_on","Forms Add On"
"format_shapes","Format Shapes"
"imagesearch_roller","Imagesearch Roller"
"video_file","Video File"
"calendar_view_day","Calendar View Day"
"font_download","Font Download"
"format_list_numbered_rtl","Format List Numbered Rtl"
"add_to_drive","Add To Drive"
"join_inner","Join Inner"
"content_paste_go","Content Paste Go"
"restore_page","Restore Page"
"rectangle","Rectangle"
"format_color_reset","Format Color Reset"
"vertical_split","Vertical Split"
"rule_folder","Rule Folder"
"view_stream","View Stream"
"cloud_circle","Cloud Circle"
"format_indent_increase","Format Indent Increase"
"spellcheck","Spellcheck"
"data_array","Data Array"
"assignment_returned","Assignment Returned"
"align_horizontal_left","Align Horizontal Left"
"pivot_table_chart","Pivot Table Chart"
"text_decrease","Text Decrease"
"deselect","Deselect"
"vertical_align_center","Vertical Align Center"
"pentagon","Pentagon"
"merge_type","Merge Type"
"space_bar","Space Bar"
"short_text","Short Text"
"join_left","Join Left"
"format_strikethrough","Format Strikethrough"
"view_day","View Day"
"flip_to_front","Flip To Front"
"border_all","Border All"
"shape_line","Shape Line"
"format_line_spacing","Format Line Spacing"
"line_weight","Line Weight"
"horizontal_split","Horizontal Split"
"format_indent_decrease","Format Indent Decrease"
"join_right","Join Right"
"align_horizontal_center","Align Horizontal Center"
"subtitles_off","Subtitles Off"
"snippet_folder","Snippet Folder"
"align_vertical_bottom","Align Vertical Bottom"
"folder_off","Folder Off"
"glyphs","Glyphs"
"format_clear","Format Clear"
"align_horizontal_right","Align Horizontal Right"
"function","Function"
"vertical_distribute","Vertical Distribute"
"insert_page_break","Insert Page Break"
"content_paste_off","Content Paste Off"
"line_axis","Line Axis"
"superscript","Superscript"
"horizontal_distribute","Horizontal Distribute"
"line_style","Line Style"
"counter_1","Counter 1"
"flip_to_back","Flip To Back"
"align_vertical_center","Align Vertical Center"
"align_vertical_top","Align Vertical Top"
"margin","Margin"
"clarify","Clarify"
"subscript","Subscript"
"wrap_text","Wrap Text"
"view_array","View Array"
"ink_pen","Ink Pen"
"ink_eraser","Ink Eraser"
"border_style","Border Style"
"border_clear","Border Clear"
"amp_stories","Amp Stories"
"border_outer","Border Outer"
"newsmode","Newsmode"
"type_specimen","Type Specimen"
"padding","Padding"
"text_rotate_vertical","Text Rotate Vertical"
"forms_apps_script","Forms Apps Script"
"border_vertical","Border Vertical"
"text_rotation_none","Text Rotation None"
"ink_highlighter","Ink Highlighter"
"format_textdirection_l_to_r","Format Textdirection L To R"
"docs_apps_script","Docs Apps Script"
"format_overline","Format Overline"
"finance_chip","Finance Chip"
"border_horizontal","Border Horizontal"
"font_download_off","Font Download Off"
"format_textdirection_r_to_l","Format Textdirection R To L"
"news","News"
"text_rotation_angleup","Text Rotation Angleup"
"border_bottom","Border Bottom"
"text_rotation_down","Text Rotation Down"
"assignment_add","Assignment Add"
"border_inner","Border Inner"
"border_left","Border Left"
"border_top","Border Top"
"equal","Equal"
"text_rotation_angledown","Text Rotation Angledown"
"note_stack","Note Stack"
"frame_inspect","Frame Inspect"
"text_rotate_up","Text Rotate Up"
"format_h1","Format H1"
"border_right","Border Right"
"note_stack_add","Note Stack Add"
"join","Join"
"counter_2","Counter 2"
"overview","Overview"
"view_column_2","View Column 2"
"export_notes","Export Notes"
"signature","Signature"
"full_coverage","Full Coverage"
"colors","Colors"
"breaking_news","Breaking News"
"slide_library","Slide Library"
"counter_3","Counter 3"
"format_underlined_squiggle","Format Underlined Squiggle"
"width","Width"
"format_h2","Format H2"
"lab_profile","Lab Profile"
"format_list_bulleted_add","Format List Bulleted Add"
"format_paragraph","Format Paragraph"
"variables","Variables"
"csv","Csv"
"format_image_left","Format Image Left"
"file_save","File Save"
"format_ink_highlighter","Format Ink Highlighter"
"reset_image","Reset Image"
"rubric","Rubric"
"contract","Contract"
"contract_edit","Contract Edit"
"dictionary","Dictionary"
"draw_abstract","Draw Abstract"
"format_image_right","Format Image Right"
"ink_marker","Ink Marker"
"remove_selection","Remove Selection"
"process_chart","Process Chart"
"select","Select"
"add_notes","Add Notes"
"text_fields_alt","Text Fields Alt"
"diagnosis","Diagnosis"
"format_h3","Format H3"
"counter_4","Counter 4"
"shapes","Shapes"
"format_h6","Format H6"
"unknown_document","Unknown Document"
"format_h5","Format H5"
"voting_chip","Voting Chip"
"scan_delete","Scan Delete"
"folder_managed","Folder Managed"
"format_h4","Format H4"
"frame_source","Frame Source"
"sticky_note","Sticky Note"
"location_chip","Location Chip"
"stylus_laser_pointer","Stylus Laser Pointer"
"article_shortcut","Article Shortcut"
"tab_duplicate","Tab Duplicate"
"grid_guides","Grid Guides"
"table_chart_view","Table Chart View"
"text_ad","Text Ad"
"insert_text","Insert Text"
"smb_share","Smb Share"
"cell_merge","Cell Merge"
"line_curve","Line Curve"
"regular_expression","Regular Expression"
"stock_media","Stock Media"
"table_rows_narrow","Table Rows Narrow"
"lasso_select","Lasso Select"
"match_case","Match Case"
"custom_typography","Custom Typography"
"list_alt_add","List Alt Add"
"ungroup","Ungroup"
"business_chip","Business Chip"
"counter_5","Counter 5"
"format_letter_spacing_standard","Format Letter Spacing Standard"
"line_end_circle","Line End Circle"
"source_notes","Source Notes"
"tab_close","Tab Close"
"tab_group","Tab Group"
"text_select_move_forward_character","Text Select Move Forward Character"
"folder_supervised","Folder Supervised"
"format_letter_spacing","Format Letter Spacing"
"format_text_overflow","Format Text Overflow"
"thumbnail_bar","Thumbnail Bar"
"book_2","Book 2"
"scan","Scan"
"counter_6","Counter 6"
"decimal_increase","Decimal Increase"
"draw_collage","Draw Collage"
"ink_highlighter_move","Ink Highlighter Move"
"line_end_arrow","Line End Arrow"
"text_select_start","Text Select Start"
"two_pager","Two Pager"
"format_letter_spacing_2","Format Letter Spacing 2"
"line_end","Line End"
"line_start","Line Start"
"contract_delete","Contract Delete"
"line_end_arrow_notch","Line End Arrow Notch"
"stroke_full","Stroke Full"
"stroke_partial","Stroke Partial"
"counter_0","Counter 0"
"language_korean_latin","Language Korean Latin"
"tab_move","Tab Move"
"top_panel_close","Top Panel Close"
"highlighter_size_3","Highlighter Size 3"
"other_admission","Other Admission"
"attach_file_add","Attach File Add"
"book_4","Book 4"
"book_5","Book 5"
"counter_7","Counter 7"
"counter_8","Counter 8"
"counter_9","Counter 9"
"flex_wrap","Flex Wrap"
"line_end_square","Line End Square"
"text_select_jump_to_beginning","Text Select Jump To Beginning"
"file_save_off","File Save Off"
"fit_width","Fit Width"
"format_letter_spacing_wide","Format Letter Spacing Wide"
"format_letter_spacing_wider","Format Letter Spacing Wider"
"heap_snapshot_thumbnail","Heap Snapshot Thumbnail"
"language_chinese_quick","Language Chinese Quick"
"language_spanish","Language Spanish"
"line_end_diamond","Line End Diamond"
"line_start_circle","Line Start Circle"
"line_start_diamond","Line Start Diamond"
"post","Post"
"asterisk","Asterisk"
"heap_snapshot_multiple","Heap Snapshot Multiple"
"markdown_copy","Markdown Copy"
"match_word","Match Word"
"pageless","Pageless"
"person_book","Person Book"
"tab_new_right","Tab New Right"
"flex_direction","Flex Direction"
"folder_data","Folder Data"
"folder_limited","Folder Limited"
"heap_snapshot_large","Heap Snapshot Large"
"ink_eraser_off","Ink Eraser Off"
"line_start_arrow","Line Start Arrow"
"pen_size_5","Pen Size 5"
"special_character","Special Character"
"top_panel_open","Top Panel Open"
"tsv","Tsv"
"align_justify_space_around","Align Justify Space Around"
"align_justify_space_between","Align Justify Space Between"
"align_space_between","Align Space Between"
"format_text_clip","Format Text Clip"
"frame_reload","Frame Reload"
"language_french","Language French"
"language_international","Language International"
"tab_close_right","Tab Close Right"
"text_select_end","Text Select End"
"text_select_jump_to_end","Text Select Jump To End"
"text_select_move_forward_word","Text Select Move Forward Word"
"text_select_move_up","Text Select Move Up"
"align_justify_space_even","Align Justify Space Even"
"book_3","Book 3"
"highlighter_size_5","Highlighter Size 5"
"language_gb_english","Language Gb English"
"language_pinyin","Language Pinyin"
"letter_switch","Letter Switch"
"line_start_square","Line Start Square"
"pen_size_2","Pen Size 2"
"sheets_rtl","Sheets Rtl"
"tab_recent","Tab Recent"
"text_select_move_back_word","Text Select Move Back Word"
"text_select_move_down","Text Select Move Down"
"align_center","Align Center"
"align_flex_center","Align Flex Center"
"decimal_decrease","Decimal Decrease"
"fit_page","Fit Page"
"language_chinese_dayi","Language Chinese Dayi"
"language_chinese_wubi","Language Chinese Wubi"
"language_us","Language Us"
"line_start_arrow_notch","Line Start Arrow Notch"
"pen_size_3","Pen Size 3"
"variable_add","Variable Add"
"align_flex_start","Align Flex Start"
"align_justify_center","Align Justify Center"
"align_justify_flex_end","Align Justify Flex End"
"align_justify_flex_start","Align Justify Flex Start"
"align_self_stretch","Align Self Stretch"
"align_space_around","Align Space Around"
"align_space_even","Align Space Even"
"brand_family","Brand Family"
"format_text_wrap","Format Text Wrap"
"highlighter_size_4","Highlighter Size 4"
"language_chinese_array","Language Chinese Array"
"language_chinese_cangjie","Language Chinese Cangjie"
"language_chinese_pinyin","Language Chinese Pinyin"
"language_japanese_kana","Language Japanese Kana"
"language_us_colemak","Language Us Colemak"
"language_us_dvorak","Language Us Dvorak"
"markdown","Markdown"
"pen_size_4","Pen Size 4"
"text_select_move_back_character","Text Select Move Back Character"
"variable_remove","Variable Remove"
"align_end","Align End"
"align_flex_end","Align Flex End"
"align_items_stretch","Align Items Stretch"
"align_justify_stretch","Align Justify Stretch"
"align_start","Align Start"
"align_stretch","Align Stretch"
"attach_file_off","Attach File Off"
"file_copy_off","File Copy Off"
"flex_no_wrap","Flex No Wrap"
"highlighter_size_1","Highlighter Size 1"
"highlighter_size_2","Highlighter Size 2"
"markdown_paste","Markdown Paste"
"pen_size_1","Pen Size 1"
"variable_insert","Variable Insert"
"search","Search"
"home","Home"
"menu","Menu"
"close","Close"
"settings","Settings"
"done","Done"
"expand_more","Expand More"
"check_circle","Check Circle"
"favorite","Favorite"
"add","Add"
"delete","Delete"
"arrow_back","Arrow Back"
"star","Star"
"chevron_right","Chevron Right"
"logout","Logout"
"arrow_forward_ios","Arrow Forward iOS"
"add_circle","Add Circle"
"cancel","Cancel"
"arrow_back_ios","Arrow Back iOS"
"arrow_forward","Arrow Forward"
"arrow_drop_down","Arrow Drop Down"
"more_vert","More Vert"
"check","Check"
"check_box","Check Box"
"toggle_on","Toggle On"
"open_in_new","Open In New"
"grade","Grade"
"refresh","Refresh"
"check_box_outline_blank","Check Box Outline Blank"
"login","Login"
"chevron_left","Chevron Left"
"expand_less","Expand Less"
"radio_button_unchecked","Radio Button Unchecked"
"more_horiz","More Horiz"
"download","Download"
"apps","Apps"
"arrow_right_alt","Arrow Right Alt"
"radio_button_checked","Radio Button Checked"
"remove","Remove"
"bolt","Bolt"
"toggle_off","Toggle Off"
"arrow_upward","Arrow Upward"
"filter_list","Filter List"
"delete_forever","Delete Forever"
"autorenew","Autorenew"
"key","Key"
"sync","Sync"
"arrow_downward","Arrow Downward"
"block","Block"
"sort","Sort"
"add_box","Add Box"
"arrow_back_ios_new","Arrow Back iOS New"
"restart_alt","Restart Alt"
"shopping_cart_checkout","Shopping Cart Checkout"
"menu_open","Menu Open"
"expand_circle_down","Expand Circle Down"
"undo","Undo"
"backspace","Backspace"
"arrow_circle_right","Arrow Circle Right"
"done_all","Done All"
"arrow_right","Arrow Right"
"do_not_disturb_on","Do Not Disturb On"
"open_in_full","Open In Full"
"manage_search","Manage Search"
"double_arrow","Double Arrow"
"sync_alt","Sync Alt"
"zoom_in","Zoom In"
"done_outline","Done Outline"
"drag_indicator","Drag Indicator"
"fullscreen","Fullscreen"
"keyboard_double_arrow_right","Keyboard Double Arrow Right"
"star_half","Star Half"
"ios_share","iOS Share"
"settings_accessibility","Settings Accessibility"
"arrow_drop_up","Arrow Drop Up"
"reply","Reply"
"exit_to_app","Exit To App"
"unfold_more","Unfold More"
"library_add","Library Add"
"cached","Cached"
"terminal","Terminal"
"select_check_box","Select Check Box"
"change_circle","Change Circle"
"disabled_by_default","Disabled By Default"
"swap_horiz","Swap Horiz"
"swap_vert","Swap Vert"
"close_fullscreen","Close Fullscreen"
"app_registration","App Registration"
"download_for_offline","Download For Offline"
"arrow_circle_left","Arrow Circle Left"
"arrow_circle_up","Arrow Circle Up"
"file_open","File Open"
"minimize","Minimize"
"dataset","Dataset"
"open_with","Open With"
"keyboard_double_arrow_left","Keyboard Double Arrow Left"
"add_task","Add Task"
"start","Start"
"keyboard_voice","Keyboard Voice"
"keyboard_double_arrow_down","Keyboard Double Arrow Down"
"create_new_folder","Create New Folder"
"forward","Forward"
"downloading","Downloading"
"settings_applications","Settings Applications"
"upload","Upload"
"compare_arrows","Compare Arrows"
"redo","Redo"
"publish","Publish"
"zoom_out","Zoom Out"
"arrow_left","Arrow Left"
"html","HTML"
"token","Token"
"switch_access_shortcut","Switch Access Shortcut"
"fullscreen_exit","Fullscreen Exit"
"arrow_circle_down","Arrow Circle Down"
"sort_by_alpha","Sort By Alpha"
"delete_sweep","Delete Sweep"
"indeterminate_check_box","Indeterminate Check Box"
"first_page","First Page"
"view_timeline","View Timeline"
"keyboard_double_arrow_up","Keyboard Double Arrow Up"
"settings_backup_restore","Settings Backup Restore"
"assistant_navigation","Assistant Navigation"
"arrow_drop_down_circle","Arrow Drop Down Circle"
"sync_problem","Sync Problem"
"clear_all","Clear All"
"heart_plus","Heart Plus"
"density_medium","Density Medium"
"expand","Expand"
"filter_alt_off","Filter Alt Off"
"last_page","Last Page"
"subdirectory_arrow_right","Subdirectory Arrow Right"
"arrow_outward","Arrow Outward"
"unfold_less","Unfold Less"
"download_done","Download Done"
"123","123"
"swipe_left","Swipe Left"
"saved_search","Saved Search"
"system_update_alt","System Update Alt"
"place_item","Place Item"
"search_off","Search Off"
"javascript","Javascript"
"output","Output"
"maximize","Maximize"
"swipe_up","Swipe Up"
"fit_screen","Fit Screen"
"select_all","Select All"
"hide_source","Hide Source"
"dynamic_form","Dynamic Form"
"swipe_right","Swipe Right"
"check_small","Check Small"
"switch_access_shortcut_add","Switch Access Shortcut Add"
"browse_gallery","Browse Gallery"
"css","CSS"
"density_small","Density Small"
"assistant_direction","Assistant Direction"
"file_download_done","File Download Done"
"move_up","Move Up"
"youtube_searched_for","Youtube Searched For"
"swap_horizontal_circle","Swap Horizontal Circle"
"data_thresholding","Data Thresholding"
"install_mobile","Install Mobile"
"abc","Abc"
"dataset_linked","Dataset Linked"
"move_down","Move Down"
"restore_from_trash","Restore From Trash"
"enable","Enable"
"install_desktop","Install Desktop"
"keyboard_command_key","Keyboard Command Key"
"browse_activity","Browse Activity"
"view_kanban","View Kanban"
"reply_all","Reply All"
"switch_left","Switch Left"
"compress","Compress"
"swipe_down","Swipe Down"
"swap_vertical_circle","Swap Vertical Circle"
"remove_done","Remove Done"
"apps_outage","Apps Outage"
"filter_list_off","Filter List Off"
"star_rate","Star Rate"
"hide","Hide"
"switch_right","Switch Right"
"swipe_vertical","Swipe Vertical"
"more_up","More Up"
"sync_disabled","Sync Disabled"
"pinch","Pinch"
"keyboard_control_key","Keyboard Control Key"
"eject","Eject"
"key_off","Key Off"
"php","PHP"
"subdirectory_arrow_left","Subdirectory Arrow Left"
"view_cozy","View Cozy"
"transcribe","Transcribe"
"do_not_disturb_off","Do Not Disturb Off"
"send_time_extension","Send Time Extension"
"width_normal","Width Normal"
"view_comfy_alt","View Comfy Alt"
"heart_minus","Heart Minus"
"share_reviews","Share Reviews"
"width_full","Width Full"
"unfold_more_double","Unfold More Double"
"file_download_off","File Download Off"
"view_compact_alt","View Compact Alt"
"extension_off","Extension Off"
"open_in_new_off","Open In New Off"
"check_indeterminate_small","Check Indeterminate Small"
"more_down","More Down"
"width_wide","Width Wide"
"repartition","Repartition"
"density_large","Density Large"
"swipe_down_alt","Swipe Down Alt"
"swipe_left_alt","Swipe Left Alt"
"cycle","Cycle"
"swipe_up_alt","Swipe Up Alt"
"swipe_right_alt","Swipe Right Alt"
"progress_activity","Progress Activity"
"unfold_less_double","Unfold Less Double"
"keyboard_option_key","Keyboard Option Key"
"hls","HLS"
"hls_off","HLS Off"
"file_upload_off","File Upload Off"
"expand_content","Expand Content"
"rebase","Rebase"
"expand_all","Expand All"
"collapse_all","Collapse All"
"quick_reference_all","Quick Reference All"
"rebase_edit","Rebase Edit"
"stat_0","Stat 0"
"arrow_split","Arrow Split"
"deployed_code","Deployed Code"
"empty_dashboard","Empty Dashboard"
"stack","Stack"
"acute","Acute"
"arrow_upward_alt","Arrow Upward Alt"
"switches","Switches"
"left_click","Left Click"
"data_check","Data Check"
"arrow_downward_alt","Arrow Downward Alt"
"directory_sync","Directory Sync"
"page_info","Page Info"
"quick_reference","Quick Reference"
"data_alert","Data Alert"
"clock_loader_60","Clock Loader 60"
"sync_saved_locally","Sync Saved Locally"
"side_navigation","Side Navigation"
"cards","Cards"
"data_info_alert","Data Info Alert"
"question_exchange","Question Exchange"
"point_scan","Point Scan"
"search_check","Search Check"
"arrow_insert","Arrow Insert"
"bubble","Bubble"
"preliminary","Preliminary"
"steppers","Steppers"
"move_item","Move Item"
"star_rate_half","Star Rate Half"
"arrow_left_alt","Arrow Left Alt"
"unknown_med","Unknown Med"
"clock_loader_10","Clock Loader 10"
"captive_portal","Captive Portal"
"stack_star","Stack Star"
"stat_3","Stat 3"
"right_panel_close","Right Panel Close"
"rule_settings","Rule Settings"
"toolbar","Toolbar"
"drag_pan","Drag Pan"
"new_window","New Window"
"expand_circle_right","Expand Circle Right"
"step","Step"
"right_panel_open","Right Panel Open"
"share_windows","Share Windows"
"patient_list","Patient List"
"sweep","Sweep"
"clock_loader_40","Clock Loader 40"
"expand_circle_up","Expand Circle Up"
"responsive_layout","Responsive Layout"
"heart_check","Heart Check"
"stacks","Stacks"
"clock_loader_80","Clock Loader 80"
"input_circle","Input Circle"
"stat_minus_1","Stat Minus 1"
"left_panel_close","Left Panel Close"
"page_control","Page Control"
"all_match","All Match"
"dialogs","Dialogs"
"stat_minus_2","Stat Minus 2"
"clock_loader_90","Clock Loader 90"
"pip","Pip"
"deployed_code_update","Deployed Code Update"
"linked_services","Linked Services"
"move_group","Move Group"
"stat_2","Stat 2"
"buttons_alt","Buttons Alt"
"capture","Capture"
"event_list","Event List"
"step_over","Step Over"
"left_panel_open","Left Panel Open"
"resize","Resize"
"step_into","Step Into"
"bottom_panel_open","Bottom Panel Open"
"partner_reports","Partner Reports"
"radio_button_partial","Radio Button Partial"
"action_key","Action Key"
"dropdown","Dropdown"
"magnification_large","Magnification Large"
"magnification_small","Magnification Small"
"stack_off","Stack Off"
"stat_1","Stat 1"
"stat_minus_3","Stat Minus 3"
"clock_loader_20","Clock Loader 20"
"drag_click","Drag Click"
"sliders","Sliders"
"bottom_navigation","Bottom Navigation"
"arrow_and_edge","Arrow And Edge"
"chronic","Chronic"
"tabs","Tabs"
"arrow_range","Arrow Range"
"chip_extraction","Chip Extraction"
"go_to_line","Go To Line"
"right_click","Right Click"
"bottom_drawer","Bottom Drawer"
"shelf_position","Shelf Position"
"collapse_content","Collapse Content"
"bottom_sheets","Bottom Sheets"
"iframe","Iframe"
"open_in_new_down","Open In New Down"
"unknown_5","Unknown 5"
"prompt_suggestion","Prompt Suggestion"
